Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_377-101135,256181,NG (Natural Gas),57.4,25.35,8.037
ID_377-101136,256181,NG (Natural Gas),50.0,22.08,8.037
ID_389-101144,400041,NG (Natural Gas),276.7,122.22,8.037
ID_389-101145,400041,NG (Natural Gas),81.6,36.04,8.037
ID_399-101153,261001,NG (Natural Gas),245.6,108.48,8.037
ID_399-101154,261001,NG (Natural Gas),302.5,133.61,8.037
ID_400-101155,280991,NG (Natural Gas),629.9,278.23,8.037
ID_400-101156,280991,NG (Natural Gas),649.2,286.75,8.037
ID_400-101157,280991,NG (Natural Gas),460.0,203.18,8.037
ID_404-101161,261001,NG (Natural Gas),326.4,144.17,8.037
ID_408-101163,252891,NG (Natural Gas),630.0,278.27,8.037
ID_408-101164,252891,NG (Natural Gas),60.5,26.72,8.037
ID_420-101175,256181,NG (Natural Gas),75.0,33.13,8.037
ID_422-101176,256181,NG (Natural Gas),178.6,78.89,8.037
ID_4256-101179,230601,NG (Natural Gas),49.8,22.0,8.037
ID_50003-101213,252891,NG (Natural Gas),46.0,20.32,8.037
ID_50024-101214,230171,OIL,55.3,19.42,9.96
ID_50049-101216,200261,BIO,32.5,11.14,13.5
ID_50061-101217,285491,NG (Natural Gas),14.3,6.32,8.037
ID_50062-101218,230541,NG (Natural Gas),46.0,20.32,8.037
ID_50064-101219,233771,NG (Natural Gas),4.4,1.94,8.037
ID_50066-101220,211211,GEO,176.4,19.35,9.54
ID_50089-101222,211211,NG (Natural Gas),1.5,0.66,8.037
ID_50110-101223,133661,BIO,20.0,6.85,13.5
ID_50112-101224,300011,BIO,27.5,9.42,13.5
ID_50115-101225,280991,NG (Natural Gas),48.2,21.29,8.037
ID_50119-101226,211211,NG (Natural Gas),54.9,24.25,8.037
ID_50131-101229,261331,NG (Natural Gas),38.4,16.96,8.037
ID_50134-101230,252891,NG (Natural Gas),300.0,132.51,8.037
ID_50148-101232,253751,NG (Natural Gas),31.0,13.69,8.037
ID_50170-101234,252891,NG (Natural Gas),38.7,17.09,8.037
ID_50200-101237,280781,NG (Natural Gas),6.1,2.69,8.037
ID_50210-101238,286671,GEO,39.6,4.34,9.54
ID_50216-101239,261001,NG (Natural Gas),405.0,178.89,8.037
ID_50224-101243,258301,BIO,1.5,0.51,13.5
ID_50234-101245,280991,NG (Natural Gas),2.7,1.19,8.037
ID_50270-101246,258301,NG (Natural Gas),49.3,21.78,8.037
ID_50293-101380,201361,BIO,28.6,9.8,13.5
ID_50299-101381,230601,NG (Natural Gas),49.5,21.86,8.037
ID_50300-101382,257141,NG (Natural Gas),46.0,20.32,8.037
ID_50363-101386,286671,BIO,21.0,7.2,13.5
ID_50388-101389,211211,OIL,27.3,9.59,9.96
ID_50464-101392,258301,NG (Natural Gas),68.7,30.34,8.037
ID_50493-101399,252891,NG (Natural Gas),49.8,22.0,8.037
ID_50494-101400,252891,NG (Natural Gas),49.8,22.0,8.037
ID_50495-101401,252891,NG (Natural Gas),49.8,22.0,8.037
ID_50530-101402,253751,NG (Natural Gas),60.0,26.5,8.037
ID_50530-101403,253751,NG (Natural Gas),23.0,10.16,8.037
ID_50537-102088,211211,NG (Natural Gas),6.0,2.65,8.037
ID_50540-102089,261001,NG (Natural Gas),13.5,5.96,8.037
ID_50541-102090,253751,NG (Natural Gas),107.4,47.44,8.037
ID_50560-102151,230601,BIO,25.0,8.57,13.5
ID_50571-102152,211211,BIO,8.6,2.95,13.5
ID_50610-102153,251601,NG (Natural Gas),1.2,0.53,8.037
ID_50612-102154,252891,NG (Natural Gas),46.0,20.32,8.037
ID_50622-102155,252891,NG (Natural Gas),17.6,7.77,8.037
ID_50623-102156,258301,NG (Natural Gas),14.0,6.18,8.037
ID_50624-102157,253751,NG (Natural Gas),22.5,9.94,8.037
ID_50632-102158,230601,BIO,24.0,8.22,13.5
ID_50674-102159,286671,NG (Natural Gas),1.2,0.53,8.037
ID_50696-102222,261001,BIO,7.5,2.57,13.5
ID_50748-102223,211211,NG (Natural Gas),32.0,14.13,8.037
ID_50750-102224,261331,NG (Natural Gas),6.8,3.0,8.037
ID_50751-102225,252891,NG (Natural Gas),30.8,13.6,8.037
ID_50752-102226,261331,NG (Natural Gas),94.2,41.61,8.037
ID_50762-102273,400041,GEO,9.6,1.05,9.54
ID_50766-102274,400041,GEO,26.4,2.9,9.54
ID_50831-102571,211211,BIO,3.0,1.03,13.5
ID_50837-102572,253751,BIO,35.6,12.2,13.5
ID_50849-102573,211211,NG (Natural Gas),28.5,12.59,8.037
ID_50850-102574,257141,NG (Natural Gas),30.8,13.6,8.037
ID_50851-102575,258301,NG (Natural Gas),31.1,13.74,8.037
ID_50864-102576,261331,NG (Natural Gas),38.2,16.87,8.037
ID_50865-102577,261331,NG (Natural Gas),38.9,17.18,8.037
ID_50876-102578,256751,NG (Natural Gas),30.7,13.56,8.037
ID_50881-102579,201361,BIO,54.9,18.81,13.5
ID_50963-102582,285491,NG (Natural Gas),5.3,2.34,8.037
ID_50964-102583,300011,GEO,3.0,0.33,9.54
ID_50985-102584,201361,NG (Natural Gas),2.8,1.24,8.037
ID_510-102585,211211,GEO,78.0,8.56,9.54
ID_52073-102586,251601,NG (Natural Gas),43.0,18.99,8.037
ID_52076-102587,252891,NG (Natural Gas),12.0,5.3,8.037
ID_52077-102588,261331,NG (Natural Gas),10.5,4.64,8.037
ID_52078-102589,261331,NG (Natural Gas),10.5,4.64,8.037
