name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ID_345-101122,ngcc,bus_258301,436.0,8.037,192.58,3.42,1308.0,20928.0,212.16,1.0,3.0
ID_350-101123,ngcc,bus_258301,1612.0,8.037,712.02,3.42,4836.0,77376.0,784.4,1.0,3.0
ID_356-101126,ngcc,bus_261001,1316.4,8.037,581.45,3.42,3949.0,63187.0,640.56,1.0,3.0
ID_358-101128,ngcc,bus_280991,1036.8,8.037,457.95,3.42,3110.0,49766.0,504.51,1.0,3.0
ID_377-101133,biomass,bus_256181,73.0,13.5,25.02,5.41,219.0,876.0,68.08,7.0,7.0
ID_377-101134,ngcc,bus_256181,120.5,8.037,53.22,3.42,362.0,5784.0,58.64,1.0,3.0
ID_377-101135,ngcc,bus_256181,57.4,8.037,25.35,3.42,172.0,2755.0,27.93,1.0,3.0
ID_377-101136,ngcc,bus_256181,50.0,8.037,22.08,3.42,150.0,2400.0,24.33,1.0,3.0
ID_389-101144,ngcc,bus_400041,276.7,8.037,122.22,3.42,830.0,13282.0,134.64,1.0,3.0
ID_389-101145,ngcc,bus_400041,81.6,8.037,36.04,3.42,245.0,3917.0,39.71,1.0,3.0
ID_399-101153,ngcc,bus_261001,245.6,8.037,108.48,3.42,737.0,11789.0,119.51,1.0,3.0
ID_399-101154,ngcc,bus_261001,302.5,8.037,133.61,3.42,908.0,14520.0,147.2,1.0,3.0
ID_400-101155,ngcc,bus_280991,629.9,8.037,278.23,3.42,1890.0,30235.0,306.51,1.0,3.0
ID_400-101156,ngcc,bus_280991,649.2,8.037,286.75,3.42,1948.0,31162.0,315.9,1.0,3.0
ID_400-101157,ngcc,bus_280991,460.0,8.037,203.18,3.42,1380.0,22080.0,223.84,1.0,3.0
ID_404-101161,ngcc,bus_261001,326.4,8.037,144.17,3.42,979.0,15667.0,158.83,1.0,3.0
ID_408-101163,ngcc,bus_252891,630.0,8.037,278.27,3.42,1890.0,30240.0,306.56,1.0,3.0
ID_408-101164,ngcc,bus_252891,60.5,8.037,26.72,3.42,182.0,2904.0,29.44,1.0,3.0
ID_420-101175,ngcc,bus_256181,75.0,8.037,33.13,3.42,225.0,3600.0,36.49,1.0,3.0
ID_422-101176,ngcc,bus_256181,178.6,8.037,78.89,3.42,536.0,8573.0,86.91,1.0,3.0
ID_4256-101179,ngcc,bus_230601,49.8,8.037,22.0,3.42,149.0,2390.0,24.23,1.0,3.0
ID_50003-101213,ngcc,bus_252891,46.0,8.037,20.32,3.42,138.0,2208.0,22.38,1.0,3.0
ID_50024-101214,oil,bus_230171,55.3,9.96,19.42,3.42,166.0,1659.0,34.31,1.0,1.0
ID_50049-101216,biomass,bus_200261,32.5,13.5,11.14,5.41,98.0,390.0,30.31,7.0,7.0
ID_50061-101217,ngcc,bus_285491,14.3,8.037,6.32,3.42,43.0,686.0,6.96,1.0,3.0
ID_50062-101218,ngcc,bus_230541,46.0,8.037,20.32,3.42,138.0,2208.0,22.38,1.0,3.0
ID_50064-101219,ngcc,bus_233771,4.4,8.037,1.94,3.42,13.0,211.0,2.14,1.0,3.0
ID_50066-101220,geothermal,bus_211211,176.4,9.54,19.35,0.0,529.0,0.0,31.05,6.0,6.0
ID_50089-101222,ngcc,bus_211211,1.5,8.037,0.66,3.42,4.0,72.0,0.73,1.0,3.0
ID_50110-101223,biomass,bus_133661,20.0,13.5,6.85,5.41,60.0,240.0,18.65,7.0,7.0
ID_50112-101224,biomass,bus_300011,27.5,13.5,9.42,5.41,82.0,330.0,25.65,7.0,7.0
ID_50115-101225,ngcc,bus_280991,48.2,8.037,21.29,3.42,145.0,2314.0,23.45,1.0,3.0
ID_50119-101226,ngcc,bus_211211,54.9,8.037,24.25,3.42,165.0,2635.0,26.71,1.0,3.0
ID_50131-101229,ngcc,bus_261331,38.4,8.037,16.96,3.42,115.0,1843.0,18.69,1.0,3.0
ID_50134-101230,ngcc,bus_252891,300.0,8.037,132.51,3.42,900.0,14400.0,145.98,1.0,3.0
ID_50148-101232,ngcc,bus_253751,31.0,8.037,13.69,3.42,93.0,1488.0,15.08,1.0,3.0
ID_50170-101234,ngcc,bus_252891,38.7,8.037,17.09,3.42,116.0,1858.0,18.83,1.0,3.0
ID_50200-101237,ngcc,bus_280781,6.1,8.037,2.69,3.42,18.0,293.0,2.97,1.0,3.0
ID_50210-101238,geothermal,bus_286671,39.6,9.54,4.34,0.0,119.0,0.0,6.97,6.0,6.0
ID_50216-101239,ngcc,bus_261001,405.0,8.037,178.89,3.42,1215.0,19440.0,197.07,1.0,3.0
ID_50224-101243,biomass,bus_258301,1.5,13.5,0.51,5.41,4.0,18.0,1.4,7.0,7.0
ID_50234-101245,ngcc,bus_280991,2.7,8.037,1.19,3.42,8.0,130.0,1.31,1.0,3.0
ID_50270-101246,ngcc,bus_258301,49.3,8.037,21.78,3.42,148.0,2366.0,23.99,1.0,3.0
ID_50293-101380,biomass,bus_201361,28.6,13.5,9.8,5.41,86.0,343.0,26.67,7.0,7.0
ID_50299-101381,ngcc,bus_230601,49.5,8.037,21.86,3.42,148.0,2376.0,24.09,1.0,3.0
ID_50300-101382,ngcc,bus_257141,46.0,8.037,20.32,3.42,138.0,2208.0,22.38,1.0,3.0
ID_50363-101386,biomass,bus_286671,21.0,13.5,7.2,5.41,63.0,252.0,19.58,7.0,7.0
ID_50388-101389,oil,bus_211211,27.3,9.96,9.59,3.42,82.0,819.0,16.94,1.0,1.0
ID_50464-101392,ngcc,bus_258301,68.7,8.037,30.34,3.42,206.0,3298.0,33.43,1.0,3.0
ID_50493-101399,ngcc,bus_252891,49.8,8.037,22.0,3.42,149.0,2390.0,24.23,1.0,3.0
ID_50494-101400,ngcc,bus_252891,49.8,8.037,22.0,3.42,149.0,2390.0,24.23,1.0,3.0
ID_50495-101401,ngcc,bus_252891,49.8,8.037,22.0,3.42,149.0,2390.0,24.23,1.0,3.0
ID_50530-101402,ngcc,bus_253751,60.0,8.037,26.5,3.42,180.0,2880.0,29.2,1.0,3.0
ID_50530-101403,ngcc,bus_253751,23.0,8.037,10.16,3.42,69.0,1104.0,11.19,1.0,3.0
ID_50537-102088,ngcc,bus_211211,6.0,8.037,2.65,3.42,18.0,288.0,2.92,1.0,3.0
ID_50540-102089,ngcc,bus_261001,13.5,8.037,5.96,3.42,40.0,648.0,6.57,1.0,3.0
ID_50541-102090,ngcc,bus_253751,107.4,8.037,47.44,3.42,322.0,5155.0,52.26,1.0,3.0
ID_50560-102151,biomass,bus_230601,25.0,13.5,8.57,5.41,75.0,300.0,23.32,7.0,7.0
ID_50571-102152,biomass,bus_211211,8.6,13.5,2.95,5.41,26.0,103.0,8.02,7.0,7.0
ID_50610-102153,ngcc,bus_251601,1.2,8.037,0.53,3.42,4.0,58.0,0.58,1.0,3.0
ID_50612-102154,ngcc,bus_252891,46.0,8.037,20.32,3.42,138.0,2208.0,22.38,1.0,3.0
ID_50622-102155,ngcc,bus_252891,17.6,8.037,7.77,3.42,53.0,845.0,8.56,1.0,3.0
ID_50623-102156,ngcc,bus_258301,14.0,8.037,6.18,3.42,42.0,672.0,6.81,1.0,3.0
ID_50624-102157,ngcc,bus_253751,22.5,8.037,9.94,3.42,68.0,1080.0,10.95,1.0,3.0
ID_50632-102158,biomass,bus_230601,24.0,13.5,8.22,5.41,72.0,288.0,22.38,7.0,7.0
ID_50674-102159,ngcc,bus_286671,1.2,8.037,0.53,3.42,4.0,58.0,0.58,1.0,3.0
ID_50696-102222,biomass,bus_261001,7.5,13.5,2.57,5.41,22.0,90.0,6.99,7.0,7.0
ID_50748-102223,ngcc,bus_211211,32.0,8.037,14.13,3.42,96.0,1536.0,15.57,1.0,3.0
ID_50750-102224,ngcc,bus_261331,6.8,8.037,3.0,3.42,20.0,326.0,3.31,1.0,3.0
ID_50751-102225,ngcc,bus_252891,30.8,8.037,13.6,3.42,92.0,1478.0,14.99,1.0,3.0
ID_50752-102226,ngcc,bus_261331,94.2,8.037,41.61,3.42,283.0,4522.0,45.84,1.0,3.0
ID_50762-102273,geothermal,bus_400041,9.6,9.54,1.05,0.0,29.0,0.0,1.69,6.0,6.0
